name,age,draft_position,length_of_contract,year_of_contract,gp,a,toi_per_g,plus_minus,pim,pp_pts,shots,shooting_pct,faceoff_pct,g60,gp_24,plus_minus_24,p60_24,shooting_pct_24,pos_C,pos_D,pos_L,pos_R,expiry_status_RFA,expiry_status_UFA,draft_tier_after1,draft_tier_round1,draft_tier_top_10,draft_tier_undrafted
Erik Cernak,0.0013310476,-0.002247796,0.028696086,-2.850783e-06,0.0,-0.0015004831,0.0014816305,-0.00038772714,8.356541e-05,-0.004528187,-0.0017930227,0.0003935864,0.00015626533,0.0007717517,0.0,0.000152933,-0.0026175925,-0.00014143255,5.1975032e-05,-9.0178466e-05,-3.190838e-05,-5.5820856e-05,1.46998655e-05,0.0,-5.2496736e-05,8.0814743e-07,-0.00011187639,5.8466474e-05
Max Crozier,-0.000534226,-6.452201e-06,-0.010857213,0.0023502705,0.0,-0.00022603977,0.0005609589,0.00026800417,0.0009441093,-0.0019748101,-0.0007122614,1.4406673e-05,2.320973e-05,0.0010225751,0.0,0.00011828829,-0.0044391723,-0.00027335132,5.1629533e-05,3.5499983e-05,-3.112807e-05,-6.246768e-05,-6.060185e-05,0.0,4.0654413e-06,6.0493512e-05,-1.9153358e-05,6.0800903e-05
Charle-Edouard D'Astous,0.001764966,-0.003194937,-0.01001107,0.0025322977,0.0,0.00056859636,0.0051101125,0.00020944628,0.0005292114,-0.0019519255,-0.00075695256,-0.00018451281,5.2624004e-05,0.0008522333,0.0,-0.00053189247,-0.0009913648,-0.0012658429,6.7364825e-05,-0.00015754403,-5.7824902e-05,-3.9633193e-05,6.281256e-06,0.0,-1.9708464e-06,5.1312534e-05,-1.7122456e-05,-0.0006515789
Victor Hedman,0.005111896,0.0041976734,0.010177678,0.000117615884,0.0,0.0007144342,0.004565649,0.0002374176,0.0008118926,0.006205794,-0.00034099357,0.00038610477,0.00021153461,0.0013928977,0.0,0.00084278453,0.004436298,0.00027622335,-3.1661784e-08,0.00015069122,-6.605171e-05,-3.443376e-05,2.1894151e-05,0.0,5.3974883e-05,4.4691427e-05,0.00014466787,7.268686e-05
Emil Lilleberg,-0.002563889,-5.250214e-05,-0.010575666,0.0022581425,0.0,-0.00068192795,0.00032125617,0.0021922824,0.0014619451,-0.001721392,0.00037266035,0.00026960098,3.2449247e-05,0.000818724,0.0,0.00016173038,-0.0014246968,3.8009348e-06,6.7364825e-05,4.3881475e-05,-2.9798073e-05,-5.515608e-05,-0.00012682237,0.0,4.0654413e-06,4.7576737e-05,-1.5443156e-05,3.4297827e-05
Ryan McDonagh,0.012669851,0.0013848019,-0.0059170453,0.00081301684,0.0,0.0020457208,0.013327859,0.0014765832,0.0013499648,-0.002178443,-0.00012568317,0.00011702052,3.0031635e-05,0.0006877343,0.0,0.0032184462,-0.0014218579,-0.00050360267,2.6056954e-05,-6.2366504e-05,-4.12663e-05,-4.1921092e-05,1.46998655e-05,0.0,5.3974883e-05,-3.999746e-05,-4.839194e-05,6.165986e-05
J.J. Moser,-0.0020108162,-0.000783716,-0.010800208,0.002500791,0.0,-0.00071357185,0.017264064,-0.002261598,-0.0004701586,-0.0019886196,-0.00062576873,-0.00012936037,4.8935468e-05,0.0006570053,0.0,0.0019389056,-0.0035562855,-0.00031203814,5.1975032e-05,-0.00011621103,-2.838641e-05,-6.246768e-05,-0.00012682237,0.0,-5.2496736e-05,6.222787e-05,-4.5126963e-05,4.7566027e-05
Darren Raddysh,0.0046037035,-0.004354035,-0.013051595,0.0009632834,0.0,-0.0033948305,0.014161036,-0.0034916177,-0.0019570084,0.0047765253,0.0007725998,-0.0010889499,-1.6032547e-05,-0.0007750771,0.0,-0.0013684774,-0.00041125173,-0.0017933632,3.5998994e-05,-0.00035321258,-2.1764314e-05,-2.2713857e-05,1.3475543e-05,0.0,-3.5615463e-05,1.11074205e-05,-1.7890137e-05,-0.0006468895
Steven Santini,0.0021078666,-0.00030639567,-0.011138369,2.554504e-05,0.0,-0.0010659707,-0.008753469,-0.00030445954,0.00031188928,-0.001963995,-0.00036275847,-0.00044182764,4.8685026e-05,0.00016911105,0.0,-0.00030443748,-0.004954022,-0.0004282292,2.795108e-05,-9.195719e-05,-2.1501704e-05,-3.845284e-05,7.024306e-06,0.0,4.0654413e-06,-6.448713e-07,-2.0056552e-05,1.028462e-05
Easton Cowan,-0.010504883,0.00033173684,-0.011422804,0.00036499792,0.0,4.3364358e-05,-0.0027622897,0.00042289493,0.000922915,0.0006662929,-0.0010099318,-0.0001769622,5.2239036e-05,2.6652844e-05,0.0,-8.38352e-05,-0.0014952221,-0.0009067198,3.5692465e-05,4.5312052e-05,-6.385979e-05,0.0002641972,-0.00018889071,0.0,-5.7791643e-05,9.501431e-05,-2.4837487e-05,1.8381732e-05
Max Domi,0.0031059254,0.0012647447,0.0060777157,-0.0003584982,0.0,0.0016467661,-0.0023719838,0.00073065003,-0.00021263171,-0.0019914063,-0.0015221087,-0.0009815653,-0.0012622173,2.0978401e-05,0.0,-0.00038306578,0.001307226,-0.0001538942,-0.0002659634,-3.5513724e-05,-5.4485346e-05,-6.579094e-05,2.1894151e-05,0.0,-1.9708464e-06,2.6612754e-05,-2.4837487e-05,7.173468e-05
Bo Groulx,-0.0012698879,-0.0004061603,-0.010505454,0.00034544835,0.0,-0.00086841313,-0.0003922192,-0.0014667906,-6.846139e-05,-0.0021848655,-0.00051314716,0.0013924565,-0.0003188377,-0.00025530596,0.0,-0.00054763263,-0.001530681,-0.0009393986,-7.375878e-05,8.6637156e-05,-3.7452133e-05,-6.246768e-05,1.46998655e-05,0.0,4.0654413e-06,2.118874e-05,-2.4506606e-05,5.874874e-05
Calle Jarnkrok,0.005333912,-0.0012092723,0.0056988588,0.00035807412,0.0,-0.0018728843,-0.007867067,3.0228968e-05,-0.00011224927,-0.0040327166,-0.0015212322,-0.00024076653,0.00024774417,2.1471604e-05,0.0,-0.00045945463,0.00036980826,-0.0014124503,-0.00017796716,-2.4811263e-05,-4.9902137e-05,-5.3522803e-05,1.46998655e-05,0.0,4.0654413e-06,-4.15389e-06,-1.9281451e-05,3.0902684e-05
Dakota Joshua,0.0010419933,-0.0015433428,0.0066871447,-0.0005862248,0.0,-0.0018874572,-0.0065164547,0.00017840377,-1.2840363e-05,-0.0034692972,-0.00059566635,0.0011567087,0.00018681641,-0.00014649688,0.0,0.000728362,-0.0019920147,0.0026808446,-0.000239801,6.5366075e-05,-3.8789585e-05,-3.845284e-05,1.46998655e-05,0.0,4.2372354e-05,-8.139349e-06,-1.9281451e-05,2.3212875e-05
Matthew Knies,-0.0044427323,-0.000110850015,0.022631204,0.0011447913,0.0,-0.001874658,0.003137565,0.0011246841,-0.000634727,0.0060167382,0.0017466515,0.00070375786,0.0003030387,-0.00022135225,0.0,-1.713365e-05,0.004511143,0.0008536852,2.3890589e-05,0.00010422246,0.00033636327,-2.1410393e-05,2.1894151e-05,0.0,4.0654413e-06,6.9400303e-06,-1.5859236e-05,4.885268e-05
Steven Lorentz,0.003544794,-0.0013599123,-0.00874395,7.956355e-05,0.0,-0.0026401521,-0.008362201,-9.816944e-05,0.0004475488,-0.0018860726,-0.0010494923,-0.0006392036,-0.0006480292,0.00015349359,0.0,2.8155773e-05,-0.001461106,-0.0007181745,-7.375878e-05,0.00013029696,-3.8789585e-05,-4.576445e-05,1.46998655e-05,0.0,4.2372354e-05,1.0858971e-06,-2.3731505e-05,3.185871e-05
