name,team,pos,age,rwpi_role,rwpi_off_score,rwpi_def_score,rwpi_score,cap_hit,true_value,value_gap,expiry_status,expiry_year,years_left,gp,player_id
Berkly Catton,SEA,C,20.1971,Depth / Bottom-6 F,45.839636913767016,0.7564296520423601,4.841149773071105,942500.0,775000.0,-167500.0,RFA,2028.0,2.0,55.0,8484800
Jordan Eberle,SEA,R,35.8658,Offensive Driver F,91.07413010590015,24.05446293494705,75.18910741301059,5500000.0,6655571.766056989,1155571.7660569893,UFA,2028.0,2.0,69.0,8474586
Oscar Fisker Molgaard,SEA,C,21.1006,Unknown,,,,891666.0,,,RFA,2028.0,2.0,4.0,8484168
Frederick Gaudreau,SEA,C,32.9035,Defensive / PK Forward,54.16036308623298,79.57639939485628,78.59304084720121,2100000.0,3250000.0,1150000.0,UFA,2028.0,2.0,57.0,8477919
Kaapo Kakko,SEA,R,25.1143,Offensive Driver F,83.66111951588502,3.6308623298033282,49.92435703479576,4525000.0,4465274.590355118,-59725.409644882195,UFA,2028.0,2.0,54.0,8481554
Jared McCann,SEA,L,29.8207,Offensive Driver F,93.79727685325264,23.751891074130103,81.69440242057489,5000000.0,7162454.559348523,2162454.5593485227,UFA,2027.0,1.0,44.0,8477955
Bobby McMann,SEA,C,29.7796,Depth / Bottom-6 F,80.33282904689864,35.24962178517398,55.21936459909228,1350000.0,1650000.0,300000.0,UFA,2026.0,0.0,60.0,8482259
Jacob Melanson,SEA,R,22.9295,Depth / Bottom-6 F,33.73676248108926,30.408472012102873,7.413010590015129,826111.0,775000.0,-51111.0,RFA,2026.0,0.0,33.0,8482874
Ben Meyers,SEA,C,27.3621,Defensive / PK Forward,53.40393343419062,79.4251134644478,77.76096822995461,1750000.0,3250000.0,1500000.0,UFA,2028.0,2.0,46.0,8483570
Logan Morrison,SEA,C,23.7153,Unknown,,,,,,,UFA,,1.0,59.0,8483012
Jaden Schwartz,SEA,L,33.7522,Offensive Driver F,70.19667170953102,40.09077155824508,52.79878971255674,5500000.0,4732247.005970042,-767752.9940299578,UFA,2026.0,0.0,42.0,8475768
Chandler Stephenson,SEA,C,31.9288,Offensive Driver F,60.66565809379728,53.5552193645991,47.352496217851744,6250000.0,4222535.586811283,-2027464.4131887173,UFA,2031.0,5.0,69.0,8476905
Eeli Tolvanen,SEA,R,26.9295,Offensive Driver F,73.37367624810892,59.60665658093798,70.19667170953102,3475000.0,6250713.593691046,2775713.5936910463,UFA,2026.0,0.0,68.0,8480009
Ryan Winterton,SEA,C,22.5599,Depth / Bottom-6 F,40.544629349470505,63.086232980332824,31.46747352496218,975000.0,1650000.0,675000.0,RFA,2028.0,2.0,62.0,8482751
Shane Wright,SEA,C,22.2231,Offensive Driver F,64.2965204236006,27.685325264750375,38.12405446293495,886666.0,3321451.7570207585,2434785.7570207585,UFA,2027.0,1.0,71.0,8483524
Vince Dunn,SEA,D,29.4073,Offensive Defenseman,55.06807866868382,23.44931921331316,23.14674735249622,7350000.0,5187500.0,-2162500.0,UFA,2027.0,1.0,70.0,8478407
Ryker Evans,SEA,D,24.2847,Depth / 7th Defenseman,22.239031770045386,65.35552193645991,36.7624810892587,2050000.0,775000.0,-1275000.0,UFA,2027.0,1.0,56.0,8482858
Cale Fleury,SEA,D,27.3511,Unknown,,,,890000.0,,,UFA,2027.0,1.0,21.0,8479985
Adam Larsson,SEA,D,33.3689,Shutdown Defenseman,11.195158850226928,92.58698940998488,79.57639939485628,5250000.0,4000000.0,-1250000.0,UFA,2029.0,3.0,71.0,8476457
Ryan Lindgren,SEA,D,28.1205,Shutdown Defenseman,2.8744326777609683,94.40242057488653,77.53403933434191,4500000.0,3750000.0,-750000.0,UFA,2029.0,3.0,67.0,8479324
